"Year","Province","Normalization","Value"
1881,"British Columbia","Dollars Per Capita ($)",4.23195918367347
1881,"Manitoba","Dollars Per Capita ($)",2.63017741935484
1881,"New Brunswick","Dollars Per Capita ($)",1.41871962616822
1881,"Nova Scotia","Dollars Per Capita ($)",0.871079365079365
1881,"Ontario","Dollars Per Capita ($)",0.621106901920083
1881,"Prince Edward Island","Dollars Per Capita ($)",1.51266972477064
1881,"Quebec","Dollars Per Capita ($)",0.705333088235294
1882,"British Columbia","Dollars Per Capita ($)",3.85177777777778
1882,"Manitoba","Dollars Per Capita ($)",3.19933802816901
1882,"New Brunswick","Dollars Per Capita ($)",1.42358566978193
1882,"Nova Scotia","Dollars Per Capita ($)",0.890843891402715
1882,"Ontario","Dollars Per Capita ($)",0.615042651593011
1882,"Prince Edward Island","Dollars Per Capita ($)",1.51077064220183
1882,"Quebec","Dollars Per Capita ($)",0.699163994169096
1883,"British Columbia","Dollars Per Capita ($)",3.52535593220339
1883,"Manitoba","Dollars Per Capita ($)",2.8394125
1883,"New Brunswick","Dollars Per Capita ($)",1.41735514018692
1883,"Nova Scotia","Dollars Per Capita ($)",0.885907449209932
1883,"Ontario","Dollars Per Capita ($)",0.608167174796748
1883,"Prince Edward Island","Dollars Per Capita ($)",1.5092752293578
1883,"Quebec","Dollars Per Capita ($)",0.692101731601732
1884,"British Columbia","Dollars Per Capita ($)",3.314859375
1884,"Manitoba","Dollars Per Capita ($)",2.55397777777778
1884,"New Brunswick","Dollars Per Capita ($)",1.51139875389408
1884,"Nova Scotia","Dollars Per Capita ($)",0.97218202247191
1884,"Ontario","Dollars Per Capita ($)",0.673685613682093
1884,"Prince Edward Island","Dollars Per Capita ($)",1.59208256880734
1884,"Quebec","Dollars Per Capita ($)",0.775670235546039
1885,"British Columbia","Dollars Per Capita ($)",3.07465217391304
1885,"Manitoba","Dollars Per Capita ($)",4.47550505050505
1885,"New Brunswick","Dollars Per Capita ($)",1.54209345794393
1885,"Nova Scotia","Dollars Per Capita ($)",0.970291479820628
1885,"Ontario","Dollars Per Capita ($)",0.667973566084788
1885,"Prince Edward Island","Dollars Per Capita ($)",1.59208256880734
1885,"Quebec","Dollars Per Capita ($)",0.768538896746818
1886,"British Columbia","Dollars Per Capita ($)",2.86690540540541
1886,"Manitoba","Dollars Per Capita ($)",4.03575
1886,"New Brunswick","Dollars Per Capita ($)",1.52308099688474
1886,"Nova Scotia","Dollars Per Capita ($)",0.970587443946188
1886,"Ontario","Dollars Per Capita ($)",0.663013366336634
1886,"Prince Edward Island","Dollars Per Capita ($)",1.59208256880734
1886,"Quebec","Dollars Per Capita ($)",0.763141853932584
1887,"British Columbia","Dollars Per Capita ($)",2.71988461538462
1887,"Manitoba","Dollars Per Capita ($)",3.72303418803419
1887,"New Brunswick","Dollars Per Capita ($)",1.52136760124611
1887,"Nova Scotia","Dollars Per Capita ($)",0.970567264573991
1887,"Ontario","Dollars Per Capita ($)",0.657480117820324
1887,"Prince Edward Island","Dollars Per Capita ($)",1.77556880733945
1887,"Quebec","Dollars Per Capita ($)",0.756764623955432
1888,"British Columbia","Dollars Per Capita ($)",2.55603614457831
1888,"Manitoba","Dollars Per Capita ($)",3.45711111111111
1888,"New Brunswick","Dollars Per Capita ($)",1.51473208722741
1888,"Nova Scotia","Dollars Per Capita ($)",0.968382550335571
1888,"Ontario","Dollars Per Capita ($)",0.616470588235294
1888,"Prince Edward Island","Dollars Per Capita ($)",1.77542201834862
1888,"Quebec","Dollars Per Capita ($)",0.705992408557626
1889,"British Columbia","Dollars Per Capita ($)",2.41080681818182
1889,"Manitoba","Dollars Per Capita ($)",3.22663703703704
1889,"New Brunswick","Dollars Per Capita ($)",1.50876947040498
1889,"Nova Scotia","Dollars Per Capita ($)",0.966140625
1889,"Ontario","Dollars Per Capita ($)",0.576806265060241
1889,"Prince Edward Island","Dollars Per Capita ($)",1.68718348623853
1889,"Quebec","Dollars Per Capita ($)",0.656123803009576
1890,"British Columbia","Dollars Per Capita ($)",2.2811935483871
1890,"Manitoba","Dollars Per Capita ($)",3.02497222222222
1890,"New Brunswick","Dollars Per Capita ($)",1.5063738317757
1890,"Nova Scotia","Dollars Per Capita ($)",0.963971046770601
1890,"Ontario","Dollars Per Capita ($)",0.571845676063067
1890,"Prince Edward Island","Dollars Per Capita ($)",1.68362385321101
1890,"Quebec","Dollars Per Capita ($)",0.650341016949153
1891,"British Columbia","Dollars Per Capita ($)",2.47185714285714
1891,"Manitoba","Dollars Per Capita ($)",2.86017647058824
1891,"New Brunswick","Dollars Per Capita ($)",1.50646417445483
1891,"Nova Scotia","Dollars Per Capita ($)",0.96182
1891,"Ontario","Dollars Per Capita ($)",0.56616508987701
1891,"Prince Edward Island","Dollars Per Capita ($)",1.68389908256881
1891,"Quebec","Dollars Per Capita ($)",0.644226326393553
1892,"British Columbia","Dollars Per Capita ($)",2.28530188679245
1892,"Manitoba","Dollars Per Capita ($)",2.68462576687117
1892,"New Brunswick","Dollars Per Capita ($)",1.50175155279503
1892,"Nova Scotia","Dollars Per Capita ($)",0.959678492239468
1892,"Ontario","Dollars Per Capita ($)",0.56482916470033
1892,"Prince Edward Island","Dollars Per Capita ($)",1.69837037037037
1892,"Quebec","Dollars Per Capita ($)",0.637801196808511
1893,"British Columbia","Dollars Per Capita ($)",2.13671052631579
1893,"Manitoba","Dollars Per Capita ($)",2.52948554913295
1893,"New Brunswick","Dollars Per Capita ($)",1.49712074303406
1893,"Nova Scotia","Dollars Per Capita ($)",0.957553097345133
1893,"Ontario","Dollars Per Capita ($)",0.631143732327992
1893,"Prince Edward Island","Dollars Per Capita ($)",1.69522222222222
1893,"Quebec","Dollars Per Capita ($)",0.715885375494071
1894,"British Columbia","Dollars Per Capita ($)",1.98926229508197
1894,"Manitoba","Dollars Per Capita ($)",2.63712021857924
1894,"New Brunswick","Dollars Per Capita ($)",1.49711145510836
1894,"Nova Scotia","Dollars Per Capita ($)",0.957550884955752
1894,"Ontario","Dollars Per Capita ($)",0.629364191729323
1894,"Prince Edward Island","Dollars Per Capita ($)",1.71038317757009
1894,"Quebec","Dollars Per Capita ($)",0.709342689295039
1895,"British Columbia","Dollars Per Capita ($)",1.86683846153846
1895,"Manitoba","Dollars Per Capita ($)",2.42277720207254
1895,"New Brunswick","Dollars Per Capita ($)",1.4970773993808
1895,"Nova Scotia","Dollars Per Capita ($)",0.957548672566372
1895,"Ontario","Dollars Per Capita ($)",0.627888888888889
1895,"Prince Edward Island","Dollars Per Capita ($)",1.72651886792453
1895,"Quebec","Dollars Per Capita ($)",0.7029191461837
1896,"British Columbia","Dollars Per Capita ($)",1.75861594202899
1896,"Manitoba","Dollars Per Capita ($)",2.31692610837438
1896,"New Brunswick","Dollars Per Capita ($)",1.49245679012346
1896,"Nova Scotia","Dollars Per Capita ($)",0.95542825607064
1896,"Ontario","Dollars Per Capita ($)",0.626713617220402
1896,"Prince Edward Island","Dollars Per Capita ($)",1.73969523809524
1896,"Quebec","Dollars Per Capita ($)",0.696611538461538
1897,"British Columbia","Dollars Per Capita ($)",1.66225342465753
1897,"Manitoba","Dollars Per Capita ($)",2.20815023474178
1897,"New Brunswick","Dollars Per Capita ($)",1.48780923076923
1897,"Nova Scotia","Dollars Per Capita ($)",0.953321585903084
1897,"Ontario","Dollars Per Capita ($)",0.625250700280112
1897,"Prince Edward Island","Dollars Per Capita ($)",1.75
1897,"Quebec","Dollars Per Capita ($)",0.689977142857143
1898,"British Columbia","Dollars Per Capita ($)",1.5759025974026
1898,"Manitoba","Dollars Per Capita ($)",2.169
1898,"New Brunswick","Dollars Per Capita ($)",1.48319018404908
1898,"Nova Scotia","Dollars Per Capita ($)",0.951224175824176
1898,"Ontario","Dollars Per Capita ($)",0.623214053047929
1898,"Prince Edward Island","Dollars Per Capita ($)",1.74934615384615
1898,"Quebec","Dollars Per Capita ($)",0.683038340666248
1899,"British Columbia","Dollars Per Capita ($)",1.49808024691358
1899,"Manitoba","Dollars Per Capita ($)",2.06703846153846
1899,"New Brunswick","Dollars Per Capita ($)",1.47856880733945
1899,"Nova Scotia","Dollars Per Capita ($)",0.947063457330416
1899,"Ontario","Dollars Per Capita ($)",0.620327466419639
1899,"Prince Edward Island","Dollars Per Capita ($)",1.76633009708738
1899,"Quebec","Dollars Per Capita ($)",0.674977639751553
1900,"British Columbia","Dollars Per Capita ($)",1.42758235294118
1900,"Manitoba","Dollars Per Capita ($)",1.97423265306122
1900,"New Brunswick","Dollars Per Capita ($)",1.46958054711246
1900,"Nova Scotia","Dollars Per Capita ($)",0.942934640522876
1900,"Ontario","Dollars Per Capita ($)",0.616614640883978
1900,"Prince Edward Island","Dollars Per Capita ($)",1.76633009708738
1900,"Quebec","Dollars Per Capita ($)",0.66669509202454
1901,"British Columbia","Dollars Per Capita ($)",1.71551396648045
1901,"Manitoba","Dollars Per Capita ($)",2.08982352941176
1901,"New Brunswick","Dollars Per Capita ($)",1.48452265861027
1901,"Nova Scotia","Dollars Per Capita ($)",0.940882608695652
1901,"Ontario","Dollars Per Capita ($)",0.613507558405863
1901,"Prince Edward Island","Dollars Per Capita ($)",2.05759223300971
1901,"Quebec","Dollars Per Capita ($)",0.659013341419042
1902,"British Columbia","Dollars Per Capita ($)",1.54310050251256
1902,"Manitoba","Dollars Per Capita ($)",1.93937090909091
1902,"New Brunswick","Dollars Per Capita ($)",1.48447432024169
1902,"Nova Scotia","Dollars Per Capita ($)",0.942932461873638
1902,"Ontario","Dollars Per Capita ($)",0.610431631722881
1902,"Prince Edward Island","Dollars Per Capita ($)",2.09833663366337
1902,"Quebec","Dollars Per Capita ($)",0.650726347305389
1903,"British Columbia","Dollars Per Capita ($)",1.39580454545455
1903,"Manitoba","Dollars Per Capita ($)",1.80106756756757
1903,"New Brunswick","Dollars Per Capita ($)",1.48447432024169
1903,"Nova Scotia","Dollars Per Capita ($)",0.940882608695652
1903,"Ontario","Dollars Per Capita ($)",0.604098782138024
1903,"Prince Edward Island","Dollars Per Capita ($)",2.11932
1903,"Quebec","Dollars Per Capita ($)",0.635876535985957
1904,"British Columbia","Dollars Per Capita ($)",1.2689132231405
1904,"Manitoba","Dollars Per Capita ($)",2.0341572327044
1904,"New Brunswick","Dollars Per Capita ($)",1.47555855855856
1904,"Nova Scotia","Dollars Per Capita ($)",0.934786177105832
1904,"Ontario","Dollars Per Capita ($)",0.59629875333927
1904,"Prince Edward Island","Dollars Per Capita ($)",2.14072727272727
1904,"Quebec","Dollars Per Capita ($)",0.62026997716895
1905,"Alberta","Dollars Per Capita ($)",6.77183734939759
1905,"British Columbia","Dollars Per Capita ($)",1.16317045454545
1905,"Manitoba","Dollars Per Capita ($)",1.77019476744186
1905,"New Brunswick","Dollars Per Capita ($)",1.47555855855856
1905,"Nova Scotia","Dollars Per Capita ($)",0.932771551724138
1905,"Ontario","Dollars Per Capita ($)",0.585096985583224
1905,"Prince Edward Island","Dollars Per Capita ($)",2.14072727272727
1905,"Quebec","Dollars Per Capita ($)",0.613615471485037
1905,"Saskatchewan","Dollars Per Capita ($)",4.76324152542373
1906,"Alberta","Dollars Per Capita ($)",6.07635135135135
1906,"British Columbia","Dollars Per Capita ($)",1.10063440860215
1906,"Manitoba","Dollars Per Capita ($)",1.69807923497268
1906,"New Brunswick","Dollars Per Capita ($)",1.47114071856287
1906,"Nova Scotia","Dollars Per Capita ($)",0.930765591397849
1906,"Ontario","Dollars Per Capita ($)",0.582551979121357
1906,"Prince Edward Island","Dollars Per Capita ($)",2.207625
1906,"Quebec","Dollars Per Capita ($)",0.609144058295964
1906,"Saskatchewan","Dollars Per Capita ($)",4.38114341085271
1907,"Alberta","Dollars Per Capita ($)",5.13753389830508
1907,"British Columbia","Dollars Per Capita ($)",1.68956957928803
1907,"Manitoba","Dollars Per Capita ($)",1.90252405063291
1907,"New Brunswick","Dollars Per Capita ($)",1.82217302052786
1907,"Nova Scotia","Dollars Per Capita ($)",1.28518947368421
1907,"Ontario","Dollars Per Capita ($)",0.900115010570825
1907,"Prince Edward Island","Dollars Per Capita ($)",2.93679166666667
1907,"Quebec","Dollars Per Capita ($)",0.910188343227199
1907,"Saskatchewan","Dollars Per Capita ($)",3.91522186495177
1908,"Alberta","Dollars Per Capita ($)",4.71475563909774
1908,"British Columbia","Dollars Per Capita ($)",1.58205151515152
1908,"Manitoba","Dollars Per Capita ($)",1.81960532687651
1908,"New Brunswick","Dollars Per Capita ($)",1.80104637681159
1908,"Nova Scotia","Dollars Per Capita ($)",1.27180208333333
1908,"Ontario","Dollars Per Capita ($)",0.882575456053068
1908,"Prince Edward Island","Dollars Per Capita ($)",2.96770526315789
1908,"Quebec","Dollars Per Capita ($)",0.886739747634069
1908,"Saskatchewan","Dollars Per Capita ($)",3.54026685393258
1909,"Alberta","Dollars Per Capita ($)",4.22978405315615
1909,"British Columbia","Dollars Per Capita ($)",1.49164857142857
1909,"Manitoba","Dollars Per Capita ($)",2.06468852459016
1909,"New Brunswick","Dollars Per Capita ($)",1.79584104046243
1909,"Nova Scotia","Dollars Per Capita ($)",1.26389233954451
1909,"Ontario","Dollars Per Capita ($)",0.871019639934534
1909,"Prince Edward Island","Dollars Per Capita ($)",2.99927659574468
1909,"Quebec","Dollars Per Capita ($)",0.873422578974624
1909,"Saskatchewan","Dollars Per Capita ($)",3.38009975062344
1910,"Alberta","Dollars Per Capita ($)",3.49127678571429
1910,"British Columbia","Dollars Per Capita ($)",1.41101891891892
1910,"Manitoba","Dollars Per Capita ($)",1.90078684807256
1910,"New Brunswick","Dollars Per Capita ($)",1.78552011494253
1910,"Nova Scotia","Dollars Per Capita ($)",1.25609053497942
1910,"Ontario","Dollars Per Capita ($)",0.857684125705077
1910,"Prince Edward Island","Dollars Per Capita ($)",2.99927659574468
1910,"Quebec","Dollars Per Capita ($)",0.858309923664122
1910,"Saskatchewan","Dollars Per Capita ($)",2.75779147982063
1911,"Alberta","Dollars Per Capita ($)",3.37091443850267
1911,"British Columbia","Dollars Per Capita ($)",1.81623664122137
1911,"Manitoba","Dollars Per Capita ($)",1.80833405639913
1911,"New Brunswick","Dollars Per Capita ($)",1.81243181818182
1911,"Nova Scotia","Dollars Per Capita ($)",1.29404471544715
1911,"Ontario","Dollars Per Capita ($)",0.948329639889197
1911,"Prince Edward Island","Dollars Per Capita ($)",2.99927659574468
1911,"Quebec","Dollars Per Capita ($)",0.982903788634098
1911,"Saskatchewan","Dollars Per Capita ($)",3.1467256097561
1912,"Alberta","Dollars Per Capita ($)",3.1487225
1912,"British Columbia","Dollars Per Capita ($)",1.79972727272727
1912,"Manitoba","Dollars Per Capita ($)",7.57569646569647
1912,"New Brunswick","Dollars Per Capita ($)",1.7920702247191
1912,"Nova Scotia","Dollars Per Capita ($)",1.28360080645161
1912,"Ontario","Dollars Per Capita ($)",0.931698289269051
1912,"Prince Edward Island","Dollars Per Capita ($)",4.06310638297872
1912,"Quebec","Dollars Per Capita ($)",0.963543584720862
1912,"Saskatchewan","Dollars Per Capita ($)",2.96276761904762
1913,"Alberta","Dollars Per Capita ($)",3.32072261072261
1913,"British Columbia","Dollars Per Capita ($)",1.7055070754717
1913,"Manitoba","Dollars Per Capita ($)",2.92853861386139
1913,"New Brunswick","Dollars Per Capita ($)",1.75750964187328
1913,"Nova Scotia","Dollars Per Capita ($)",1.26322817460317
1913,"Ontario","Dollars Per Capita ($)",0.90806328154604
1913,"Prince Edward Island","Dollars Per Capita ($)",4.06310638297872
1913,"Quebec","Dollars Per Capita ($)",0.939708969465649
1913,"Saskatchewan","Dollars Per Capita ($)",2.89742095914742
1914,"Alberta","Dollars Per Capita ($)",3.46203703703704
1914,"British Columbia","Dollars Per Capita ($)",1.6360520361991
1914,"Manitoba","Dollars Per Capita ($)",2.65321509433962
1914,"New Brunswick","Dollars Per Capita ($)",1.71961185983828
1914,"Nova Scotia","Dollars Per Capita ($)",1.243490234375
1914,"Ontario","Dollars Per Capita ($)",0.885907208872458
1914,"Prince Edward Island","Dollars Per Capita ($)",4.02033684210526
1914,"Quebec","Dollars Per Capita ($)",0.916959962756052
1914,"Saskatchewan","Dollars Per Capita ($)",2.84638103161398
1915,"Alberta","Dollars Per Capita ($)",3.31057291666667
1915,"British Columbia","Dollars Per Capita ($)",1.60696666666667
1915,"Manitoba","Dollars Per Capita ($)",2.58019082568807
1915,"New Brunswick","Dollars Per Capita ($)",1.71961185983828
1915,"Nova Scotia","Dollars Per Capita ($)",1.24592367906067
1915,"Ontario","Dollars Per Capita ($)",0.879727973568282
1915,"Prince Edward Island","Dollars Per Capita ($)",4.06310638297872
1915,"Quebec","Dollars Per Capita ($)",0.911022201665125
1915,"Saskatchewan","Dollars Per Capita ($)",2.72400477707006
1916,"Alberta","Dollars Per Capita ($)",3.20378024193548
1916,"British Columbia","Dollars Per Capita ($)",1.58582236842105
1916,"Manitoba","Dollars Per Capita ($)",2.56981768953069
1916,"New Brunswick","Dollars Per Capita ($)",1.73363043478261
1916,"Nova Scotia","Dollars Per Capita ($)",1.26072673267327
1916,"Ontario","Dollars Per Capita ($)",0.883294876520457
1916,"Prince Edward Island","Dollars Per Capita ($)",4.1514347826087
1916,"Quebec","Dollars Per Capita ($)",0.914405756731662
1916,"Saskatchewan","Dollars Per Capita ($)",2.63993055555556
1917,"Alberta","Dollars Per Capita ($)",3.12810039370079
1917,"British Columbia","Dollars Per Capita ($)",1.34296336206897
1917,"Manitoba","Dollars Per Capita ($)",2.55139605734767
1917,"New Brunswick","Dollars Per Capita ($)",1.73363043478261
1917,"Nova Scotia","Dollars Per Capita ($)",1.26573956262425
1917,"Ontario","Dollars Per Capita ($)",0.879727973568282
1917,"Prince Edward Island","Dollars Per Capita ($)",4.24368888888889
1917,"Quebec","Dollars Per Capita ($)",0.908082065467958
1917,"Saskatchewan","Dollars Per Capita ($)",2.58410120845921
1918,"Alberta","Dollars Per Capita ($)",2.97721264367816
1918,"British Columbia","Dollars Per Capita ($)",1.31463080168776
1918,"Manitoba","Dollars Per Capita ($)",2.56165486725664
1918,"New Brunswick","Dollars Per Capita ($)",1.72893224932249
1918,"Nova Scotia","Dollars Per Capita ($)",1.2682609561753
1918,"Ontario","Dollars Per Capita ($)",0.873315962099125
1918,"Prince Edward Island","Dollars Per Capita ($)",4.29137078651685
1918,"Quebec","Dollars Per Capita ($)",0.898963943404838
1918,"Saskatchewan","Dollars Per Capita ($)",2.47798967551622
1919,"Alberta","Dollars Per Capita ($)",2.99644177449168
1919,"British Columbia","Dollars Per Capita ($)",1.27691598360656
1919,"Manitoba","Dollars Per Capita ($)",2.54937781629116
1919,"New Brunswick","Dollars Per Capita ($)",1.71039142091153
1919,"Nova Scotia","Dollars Per Capita ($)",1.25575345167653
1919,"Ontario","Dollars Per Capita ($)",0.85922517031194
1919,"Prince Edward Island","Dollars Per Capita ($)",4.29137078651685
1919,"Quebec","Dollars Per Capita ($)",0.881660698299015
1919,"Saskatchewan","Dollars Per Capita ($)",2.50439285714286
1920,"Alberta","Dollars Per Capita ($)",2.8691592920354
1920,"British Columbia","Dollars Per Capita ($)",1.22906311637081
1920,"Manitoba","Dollars Per Capita ($)",2.47641582491582
1920,"New Brunswick","Dollars Per Capita ($)",1.67447769028871
1920,"Nova Scotia","Dollars Per Capita ($)",1.2338507751938
1920,"Ontario","Dollars Per Capita ($)",0.837016765630458
1920,"Prince Edward Island","Dollars Per Capita ($)",4.29137078651685
1920,"Quebec","Dollars Per Capita ($)",0.856733362331448
1920,"Saskatchewan","Dollars Per Capita ($)",2.40476680384088
1921,"Alberta","Dollars Per Capita ($)",2.76743925233645
1921,"British Columbia","Dollars Per Capita ($)",1.40834159359512
1921,"Manitoba","Dollars Per Capita ($)",2.4110653991149
1921,"New Brunswick","Dollars Per Capita ($)",1.71891209074504
1921,"Nova Scotia","Dollars Per Capita ($)",1.26358533791523
1921,"Ontario","Dollars Per Capita ($)",0.90077785731329
1921,"Prince Edward Island","Dollars Per Capita ($)",4.31074492099323
1921,"Quebec","Dollars Per Capita ($)",0.955907646685024
1921,"Saskatchewan","Dollars Per Capita ($)",2.32855841584158
1922,"Alberta","Dollars Per Capita ($)",2.7510777027027
1922,"British Columbia","Dollars Per Capita ($)",1.36564879852126
1922,"Manitoba","Dollars Per Capita ($)",2.38048701298701
1922,"New Brunswick","Dollars Per Capita ($)",1.71405141388175
1922,"Nova Scotia","Dollars Per Capita ($)",1.26794252873563
1922,"Ontario","Dollars Per Capita ($)",0.886782550335571
1922,"Prince Edward Island","Dollars Per Capita ($)",4.29137078651685
1922,"Quebec","Dollars Per Capita ($)",0.936662515566625
1922,"Saskatchewan","Dollars Per Capita ($)",2.29373602080624
1923,"Alberta","Dollars Per Capita ($)",2.78505396290051
1923,"British Columbia","Dollars Per Capita ($)",1.3312
1923,"Manitoba","Dollars Per Capita ($)",2.39922132471729
1923,"New Brunswick","Dollars Per Capita ($)",1.71405141388175
1923,"Nova Scotia","Dollars Per Capita ($)",1.27773359073359
1923,"Ontario","Dollars Per Capita ($)",0.877070029870561
1923,"Prince Edward Island","Dollars Per Capita ($)",4.39002298850575
1923,"Quebec","Dollars Per Capita ($)",0.922493867538839
1923,"Saskatchewan","Dollars Per Capita ($)",2.44353341902314
1924,"Alberta","Dollars Per Capita ($)",2.80474874371859
1924,"British Columbia","Dollars Per Capita ($)",1.29389842381786
1924,"Manitoba","Dollars Per Capita ($)",2.4024816
1924,"New Brunswick","Dollars Per Capita ($)",1.70528388746803
1924,"Nova Scotia","Dollars Per Capita ($)",1.28268217054264
1924,"Ontario","Dollars Per Capita ($)",0.863881006864989
1924,"Prince Edward Island","Dollars Per Capita ($)",4.44106976744186
1924,"Quebec","Dollars Per Capita ($)",0.904376753507014
1924,"Saskatchewan","Dollars Per Capita ($)",2.22124525916561
1925,"Alberta","Dollars Per Capita ($)",2.78145348837209
1925,"British Columbia","Dollars Per Capita ($)",1.25648979591837
1925,"Manitoba","Dollars Per Capita ($)",2.37587183544304
1925,"New Brunswick","Dollars Per Capita ($)",1.69660559796438
1925,"Nova Scotia","Dollars Per Capita ($)",1.28512815533981
1925,"Ontario","Dollars Per Capita ($)",0.849441337190614
1925,"Prince Edward Island","Dollars Per Capita ($)",4.44106976744186
1925,"Quebec","Dollars Per Capita ($)",0.885217732444096
1925,"Saskatchewan","Dollars Per Capita ($)",2.29622208436725
1926,"Alberta","Dollars Per Capita ($)",2.70546741277156
1926,"British Columbia","Dollars Per Capita ($)",1.21916831683168
